Your Input	WormBase Gene ID	UniProt	Reference UniProt ID
WBGene00048091	WBGene00048091	N.A.	N.A.
WBGene00048092	WBGene00048092	N.A.	N.A.
WBGene00048093	WBGene00048093	N.A.	N.A.
WBGene00048094	WBGene00048094	N.A.	N.A.
WBGene00048095	WBGene00048095	N.A.	N.A.
WBGene00048096	WBGene00048096	N.A.	N.A.
WBGene00048097	WBGene00048097	N.A.	N.A.
WBGene00048098	WBGene00048098	N.A.	N.A.
WBGene00048099	WBGene00048099	N.A.	N.A.
WBGene00048100	WBGene00048100	N.A.	N.A.
WBGene00048101	WBGene00048101	N.A.	N.A.
WBGene00048102	WBGene00048102	N.A.	N.A.
WBGene00048103	WBGene00048103	N.A.	N.A.
WBGene00048104	WBGene00048104	N.A.	N.A.
WBGene00048105	WBGene00048105	N.A.	N.A.
WBGene00048106	WBGene00048106	N.A.	N.A.
WBGene00048107	WBGene00048107	N.A.	N.A.
WBGene00048108	WBGene00048108	N.A.	N.A.
WBGene00048109	WBGene00048109	N.A.	N.A.
WBGene00048110	WBGene00048110	N.A.	N.A.
WBGene00048111	WBGene00048111	N.A.	N.A.
WBGene00048112	WBGene00048112	N.A.	N.A.
WBGene00048113	WBGene00048113	N.A.	N.A.
WBGene00048114	WBGene00048114	N.A.	N.A.
WBGene00048115	WBGene00048115	N.A.	N.A.
WBGene00048116	WBGene00048116	N.A.	N.A.
WBGene00048117	WBGene00048117	N.A.	N.A.
WBGene00048118	WBGene00048118	N.A.	N.A.
WBGene00048119	WBGene00048119	N.A.	N.A.
WBGene00048120	WBGene00048120	N.A.	N.A.
WBGene00048121	WBGene00048121	N.A.	N.A.
WBGene00048122	WBGene00048122	N.A.	N.A.
WBGene00048123	WBGene00048123	N.A.	N.A.
WBGene00048124	WBGene00048124	N.A.	N.A.
WBGene00048125	WBGene00048125	N.A.	N.A.
WBGene00048126	WBGene00048126	N.A.	N.A.
WBGene00048127	WBGene00048127	N.A.	N.A.
WBGene00048128	WBGene00048128	N.A.	N.A.
WBGene00048129	WBGene00048129	N.A.	N.A.
WBGene00048130	WBGene00048130	N.A.	N.A.
WBGene00048131	WBGene00048131	N.A.	N.A.
WBGene00048132	WBGene00048132	N.A.	N.A.
WBGene00048133	WBGene00048133	N.A.	N.A.
WBGene00048134	WBGene00048134	N.A.	N.A.
WBGene00048135	WBGene00048135	N.A.	N.A.
WBGene00048136	WBGene00048136	N.A.	N.A.
WBGene00048137	WBGene00048137	N.A.	N.A.
WBGene00048138	WBGene00048138	N.A.	N.A.
WBGene00048139	WBGene00048139	N.A.	N.A.
WBGene00048140	WBGene00048140	N.A.	N.A.
WBGene00048141	WBGene00048141	N.A.	N.A.
WBGene00048142	WBGene00048142	N.A.	N.A.
WBGene00048143	WBGene00048143	N.A.	N.A.
WBGene00048144	WBGene00048144	N.A.	N.A.
WBGene00048145	WBGene00048145	N.A.	N.A.
WBGene00048146	WBGene00048146	N.A.	N.A.
WBGene00048147	WBGene00048147	N.A.	N.A.
WBGene00048148	WBGene00048148	N.A.	N.A.
WBGene00048149	WBGene00048149	N.A.	N.A.
WBGene00048150	WBGene00048150	N.A.	N.A.
WBGene00048151	WBGene00048151	N.A.	N.A.
WBGene00048152	WBGene00048152	N.A.	N.A.
WBGene00048153	WBGene00048153	N.A.	N.A.
WBGene00048154	WBGene00048154	N.A.	N.A.
WBGene00048155	WBGene00048155	N.A.	N.A.
WBGene00048156	WBGene00048156	N.A.	N.A.
WBGene00048157	WBGene00048157	N.A.	N.A.
WBGene00048158	WBGene00048158	N.A.	N.A.
WBGene00048159	WBGene00048159	N.A.	N.A.
WBGene00048160	WBGene00048160	N.A.	N.A.
WBGene00048161	WBGene00048161	N.A.	N.A.
WBGene00048162	WBGene00048162	N.A.	N.A.
WBGene00048163	WBGene00048163	N.A.	N.A.
WBGene00048164	WBGene00048164	N.A.	N.A.
WBGene00048165	WBGene00048165	N.A.	N.A.
WBGene00048166	WBGene00048166	N.A.	N.A.
WBGene00048167	WBGene00048167	N.A.	N.A.
WBGene00048168	WBGene00048168	N.A.	N.A.
WBGene00048169	WBGene00048169	N.A.	N.A.
WBGene00048170	WBGene00048170	N.A.	N.A.
WBGene00048171	WBGene00048171	N.A.	N.A.
WBGene00048172	WBGene00048172	N.A.	N.A.
WBGene00048173	WBGene00048173	N.A.	N.A.
WBGene00048174	WBGene00048174	N.A.	N.A.
WBGene00048175	WBGene00048175	N.A.	N.A.
WBGene00048176	WBGene00048176	N.A.	N.A.
WBGene00048177	WBGene00048177	N.A.	N.A.
WBGene00048178	WBGene00048178	N.A.	N.A.
WBGene00048179	WBGene00048179	N.A.	N.A.
WBGene00048180	WBGene00048180	N.A.	N.A.
WBGene00048181	WBGene00048181	N.A.	N.A.
WBGene00048182	WBGene00048182	N.A.	N.A.
WBGene00048183	WBGene00048183	N.A.	N.A.
WBGene00048184	WBGene00048184	N.A.	N.A.
WBGene00048185	WBGene00048185	N.A.	N.A.
WBGene00048186	WBGene00048186	N.A.	N.A.
WBGene00048187	WBGene00048187	N.A.	N.A.
WBGene00048188	WBGene00048188	N.A.	N.A.
WBGene00048189	WBGene00048189	N.A.	N.A.
WBGene00048190	WBGene00048190	N.A.	N.A.
WBGene00048191	WBGene00048191	N.A.	N.A.
WBGene00048192	WBGene00048192	N.A.	N.A.
WBGene00048193	WBGene00048193	N.A.	N.A.
WBGene00048194	WBGene00048194	N.A.	N.A.
WBGene00048195	WBGene00048195	N.A.	N.A.
WBGene00048196	WBGene00048196	N.A.	N.A.
WBGene00048197	WBGene00048197	N.A.	N.A.
WBGene00048198	WBGene00048198	N.A.	N.A.
WBGene00048199	WBGene00048199	N.A.	N.A.
WBGene00048200	WBGene00048200	N.A.	N.A.
WBGene00048201	WBGene00048201	N.A.	N.A.
WBGene00048202	WBGene00048202	N.A.	N.A.
WBGene00048203	WBGene00048203	N.A.	N.A.
WBGene00048204	WBGene00048204	N.A.	N.A.
WBGene00048205	WBGene00048205	N.A.	N.A.
WBGene00048206	WBGene00048206	N.A.	N.A.
WBGene00048207	WBGene00048207	N.A.	N.A.
WBGene00048208	WBGene00048208	N.A.	N.A.
WBGene00048209	WBGene00048209	N.A.	N.A.
WBGene00048210	WBGene00048210	N.A.	N.A.
WBGene00048211	WBGene00048211	N.A.	N.A.
WBGene00048212	WBGene00048212	N.A.	N.A.
WBGene00048213	WBGene00048213	N.A.	N.A.
WBGene00048214	WBGene00048214	N.A.	N.A.
WBGene00048215	WBGene00048215	N.A.	N.A.
WBGene00048216	WBGene00048216	N.A.	N.A.
WBGene00048217	WBGene00048217	N.A.	N.A.
WBGene00048218	WBGene00048218	N.A.	N.A.
WBGene00048219	WBGene00048219	N.A.	N.A.
WBGene00048220	WBGene00048220	N.A.	N.A.
WBGene00048221	WBGene00048221	N.A.	N.A.
WBGene00048222	WBGene00048222	N.A.	N.A.
WBGene00048223	WBGene00048223	N.A.	N.A.
WBGene00048224	WBGene00048224	N.A.	N.A.
WBGene00048225	WBGene00048225	N.A.	N.A.
WBGene00048226	WBGene00048226	N.A.	N.A.
WBGene00048227	WBGene00048227	N.A.	N.A.
WBGene00048228	WBGene00048228	N.A.	N.A.
WBGene00048229	WBGene00048229	N.A.	N.A.
WBGene00048230	WBGene00048230	N.A.	N.A.
WBGene00048231	WBGene00048231	N.A.	N.A.
WBGene00048232	WBGene00048232	N.A.	N.A.
WBGene00048233	WBGene00048233	N.A.	N.A.
WBGene00048234	WBGene00048234	N.A.	N.A.
WBGene00048235	WBGene00048235	N.A.	N.A.
WBGene00048236	WBGene00048236	N.A.	N.A.
WBGene00048237	WBGene00048237	N.A.	N.A.
WBGene00048238	WBGene00048238	N.A.	N.A.
WBGene00048239	WBGene00048239	N.A.	N.A.
WBGene00048240	WBGene00048240	N.A.	N.A.
WBGene00048241	WBGene00048241	N.A.	N.A.
WBGene00048242	WBGene00048242	N.A.	N.A.
WBGene00048243	WBGene00048243	N.A.	N.A.
WBGene00048244	WBGene00048244	N.A.	N.A.
WBGene00048245	WBGene00048245	N.A.	N.A.
WBGene00048246	WBGene00048246	N.A.	N.A.
WBGene00048247	WBGene00048247	N.A.	N.A.
WBGene00048248	WBGene00048248	N.A.	N.A.
WBGene00048249	WBGene00048249	N.A.	N.A.
WBGene00048250	WBGene00048250	N.A.	N.A.
WBGene00048251	WBGene00048251	N.A.	N.A.
WBGene00048252	WBGene00048252	N.A.	N.A.
WBGene00048253	WBGene00048253	N.A.	N.A.
WBGene00048254	WBGene00048254	N.A.	N.A.
WBGene00048255	WBGene00048255	N.A.	N.A.
WBGene00048256	WBGene00048256	N.A.	N.A.
WBGene00048257	WBGene00048257	N.A.	N.A.
WBGene00048258	WBGene00048258	N.A.	N.A.
WBGene00048259	WBGene00048259	N.A.	N.A.
WBGene00048260	WBGene00048260	N.A.	N.A.
WBGene00048261	WBGene00048261	N.A.	N.A.
WBGene00048262	WBGene00048262	N.A.	N.A.
WBGene00048263	WBGene00048263	N.A.	N.A.
WBGene00048264	WBGene00048264	N.A.	N.A.
WBGene00048265	WBGene00048265	N.A.	N.A.
WBGene00048266	WBGene00048266	N.A.	N.A.
WBGene00048267	WBGene00048267	N.A.	N.A.
WBGene00048268	WBGene00048268	N.A.	N.A.
WBGene00048269	WBGene00048269	N.A.	N.A.
WBGene00048270	WBGene00048270	N.A.	N.A.
WBGene00048271	WBGene00048271	N.A.	N.A.
WBGene00048272	WBGene00048272	N.A.	N.A.
WBGene00048273	WBGene00048273	N.A.	N.A.
WBGene00048274	WBGene00048274	N.A.	N.A.
WBGene00048275	WBGene00048275	N.A.	N.A.
WBGene00048276	WBGene00048276	N.A.	N.A.
WBGene00048277	WBGene00048277	N.A.	N.A.
WBGene00048278	WBGene00048278	N.A.	N.A.
WBGene00048279	WBGene00048279	N.A.	N.A.
WBGene00048280	WBGene00048280	N.A.	N.A.
WBGene00048281	WBGene00048281	N.A.	N.A.
WBGene00048282	WBGene00048282	N.A.	N.A.
WBGene00048283	WBGene00048283	N.A.	N.A.
WBGene00048284	WBGene00048284	N.A.	N.A.
WBGene00048285	WBGene00048285	N.A.	N.A.
WBGene00048286	WBGene00048286	N.A.	N.A.
WBGene00048287	WBGene00048287	N.A.	N.A.
WBGene00048288	WBGene00048288	N.A.	N.A.
WBGene00048289	WBGene00048289	N.A.	N.A.
WBGene00048290	WBGene00048290	N.A.	N.A.
WBGene00048291	WBGene00048291	N.A.	N.A.
WBGene00048292	WBGene00048292	N.A.	N.A.
WBGene00048293	WBGene00048293	N.A.	N.A.
WBGene00048294	WBGene00048294	N.A.	N.A.
WBGene00048295	WBGene00048295	N.A.	N.A.
WBGene00048296	WBGene00048296	N.A.	N.A.
WBGene00048297	WBGene00048297	N.A.	N.A.
WBGene00048298	WBGene00048298	N.A.	N.A.
WBGene00048299	WBGene00048299	N.A.	N.A.
WBGene00048300	WBGene00048300	N.A.	N.A.
WBGene00048301	WBGene00048301	N.A.	N.A.
WBGene00048302	WBGene00048302	N.A.	N.A.
WBGene00048303	WBGene00048303	N.A.	N.A.
WBGene00048304	WBGene00048304	N.A.	N.A.
WBGene00048305	WBGene00048305	N.A.	N.A.
WBGene00048306	WBGene00048306	N.A.	N.A.
WBGene00048307	WBGene00048307	N.A.	N.A.
WBGene00048308	WBGene00048308	N.A.	N.A.
WBGene00048309	WBGene00048309	N.A.	N.A.
WBGene00048310	WBGene00048310	N.A.	N.A.
WBGene00048311	WBGene00048311	N.A.	N.A.
WBGene00048312	WBGene00048312	N.A.	N.A.
WBGene00048313	WBGene00048313	N.A.	N.A.
WBGene00048314	WBGene00048314	N.A.	N.A.
WBGene00048315	WBGene00048315	N.A.	N.A.
WBGene00048316	WBGene00048316	N.A.	N.A.
WBGene00048317	WBGene00048317	N.A.	N.A.
WBGene00048318	WBGene00048318	N.A.	N.A.
WBGene00048319	WBGene00048319	N.A.	N.A.
WBGene00048320	WBGene00048320	N.A.	N.A.
WBGene00048321	WBGene00048321	N.A.	N.A.
WBGene00048322	WBGene00048322	N.A.	N.A.
WBGene00048323	WBGene00048323	N.A.	N.A.
WBGene00048324	WBGene00048324	N.A.	N.A.
WBGene00048325	WBGene00048325	N.A.	N.A.
WBGene00048326	WBGene00048326	N.A.	N.A.
WBGene00048327	WBGene00048327	N.A.	N.A.
WBGene00048328	WBGene00048328	N.A.	N.A.
WBGene00048329	WBGene00048329	N.A.	N.A.
WBGene00048330	WBGene00048330	N.A.	N.A.
WBGene00048331	WBGene00048331	N.A.	N.A.
WBGene00048332	WBGene00048332	N.A.	N.A.
WBGene00048333	WBGene00048333	N.A.	N.A.
WBGene00048334	WBGene00048334	N.A.	N.A.
WBGene00048335	WBGene00048335	N.A.	N.A.
WBGene00048336	WBGene00048336	N.A.	N.A.
WBGene00048337	WBGene00048337	N.A.	N.A.
WBGene00048338	WBGene00048338	N.A.	N.A.
WBGene00048339	WBGene00048339	N.A.	N.A.
WBGene00048340	WBGene00048340	N.A.	N.A.
WBGene00048341	WBGene00048341	N.A.	N.A.
WBGene00048342	WBGene00048342	N.A.	N.A.
WBGene00048343	WBGene00048343	N.A.	N.A.
WBGene00048344	WBGene00048344	N.A.	N.A.
WBGene00048345	WBGene00048345	N.A.	N.A.
WBGene00048346	WBGene00048346	N.A.	N.A.
WBGene00048347	WBGene00048347	N.A.	N.A.
WBGene00048348	WBGene00048348	N.A.	N.A.
WBGene00048349	WBGene00048349	N.A.	N.A.
WBGene00048350	WBGene00048350	N.A.	N.A.
WBGene00048351	WBGene00048351	N.A.	N.A.
WBGene00048352	WBGene00048352	N.A.	N.A.
WBGene00048353	WBGene00048353	N.A.	N.A.
WBGene00048354	WBGene00048354	N.A.	N.A.
WBGene00048355	WBGene00048355	N.A.	N.A.
WBGene00048356	WBGene00048356	N.A.	N.A.
WBGene00048357	WBGene00048357	N.A.	N.A.
WBGene00048358	WBGene00048358	N.A.	N.A.
WBGene00048359	WBGene00048359	N.A.	N.A.
WBGene00048360	WBGene00048360	N.A.	N.A.
WBGene00048361	WBGene00048361	N.A.	N.A.
WBGene00048362	WBGene00048362	N.A.	N.A.
WBGene00048363	WBGene00048363	N.A.	N.A.
WBGene00048364	WBGene00048364	N.A.	N.A.
WBGene00048365	WBGene00048365	N.A.	N.A.
WBGene00048366	WBGene00048366	N.A.	N.A.
WBGene00048367	WBGene00048367	N.A.	N.A.
WBGene00048368	WBGene00048368	N.A.	N.A.
WBGene00048369	WBGene00048369	N.A.	N.A.
WBGene00048370	WBGene00048370	N.A.	N.A.
WBGene00048371	WBGene00048371	N.A.	N.A.
WBGene00048372	WBGene00048372	N.A.	N.A.
WBGene00048373	WBGene00048373	N.A.	N.A.
WBGene00048374	WBGene00048374	N.A.	N.A.
WBGene00048375	WBGene00048375	N.A.	N.A.
WBGene00048376	WBGene00048376	N.A.	N.A.
WBGene00048377	WBGene00048377	N.A.	N.A.
WBGene00048378	WBGene00048378	N.A.	N.A.
WBGene00048379	WBGene00048379	N.A.	N.A.
WBGene00048380	WBGene00048380	N.A.	N.A.
WBGene00048381	WBGene00048381	N.A.	N.A.
WBGene00048382	WBGene00048382	N.A.	N.A.
WBGene00048383	WBGene00048383	N.A.	N.A.
WBGene00048384	WBGene00048384	N.A.	N.A.
WBGene00048385	WBGene00048385	N.A.	N.A.
WBGene00048386	WBGene00048386	N.A.	N.A.
WBGene00048387	WBGene00048387	N.A.	N.A.
WBGene00048388	WBGene00048388	N.A.	N.A.
WBGene00048389	WBGene00048389	N.A.	N.A.
WBGene00048390	WBGene00048390	N.A.	N.A.
WBGene00048391	WBGene00048391	N.A.	N.A.
WBGene00048392	WBGene00048392	N.A.	N.A.
WBGene00048393	WBGene00048393	N.A.	N.A.
WBGene00048394	WBGene00048394	N.A.	N.A.
WBGene00048395	WBGene00048395	N.A.	N.A.
WBGene00048396	WBGene00048396	N.A.	N.A.
WBGene00048397	WBGene00048397	N.A.	N.A.
WBGene00048398	WBGene00048398	N.A.	N.A.
WBGene00048399	WBGene00048399	N.A.	N.A.
WBGene00048400	WBGene00048400	N.A.	N.A.
WBGene00048401	WBGene00048401	N.A.	N.A.
WBGene00048402	WBGene00048402	N.A.	N.A.
WBGene00048403	WBGene00048403	N.A.	N.A.
WBGene00048404	WBGene00048404	N.A.	N.A.
WBGene00048405	WBGene00048405	N.A.	N.A.
WBGene00048406	WBGene00048406	N.A.	N.A.
WBGene00048407	WBGene00048407	N.A.	N.A.
WBGene00048408	WBGene00048408	N.A.	N.A.
WBGene00048409	WBGene00048409	N.A.	N.A.
WBGene00048410	WBGene00048410	N.A.	N.A.
WBGene00048411	WBGene00048411	N.A.	N.A.
WBGene00048412	WBGene00048412	N.A.	N.A.
WBGene00048413	WBGene00048413	N.A.	N.A.
WBGene00048414	WBGene00048414	N.A.	N.A.
WBGene00048415	WBGene00048415	N.A.	N.A.
WBGene00048416	WBGene00048416	N.A.	N.A.
WBGene00048417	WBGene00048417	N.A.	N.A.
WBGene00048418	WBGene00048418	N.A.	N.A.
WBGene00048419	WBGene00048419	N.A.	N.A.
WBGene00048420	WBGene00048420	N.A.	N.A.
WBGene00048421	WBGene00048421	N.A.	N.A.
WBGene00048422	WBGene00048422	N.A.	N.A.
WBGene00048423	WBGene00048423	N.A.	N.A.
WBGene00048424	WBGene00048424	N.A.	N.A.
WBGene00048425	WBGene00048425	N.A.	N.A.
WBGene00048426	WBGene00048426	N.A.	N.A.
WBGene00048427	WBGene00048427	N.A.	N.A.
WBGene00048428	WBGene00048428	N.A.	N.A.
WBGene00048429	WBGene00048429	N.A.	N.A.
WBGene00048430	WBGene00048430	N.A.	N.A.
WBGene00048431	WBGene00048431	N.A.	N.A.
WBGene00048432	WBGene00048432	N.A.	N.A.
WBGene00048433	WBGene00048433	N.A.	N.A.
WBGene00048434	WBGene00048434	N.A.	N.A.
WBGene00048435	WBGene00048435	N.A.	N.A.
WBGene00048436	WBGene00048436	N.A.	N.A.
WBGene00048437	WBGene00048437	N.A.	N.A.
WBGene00048438	WBGene00048438	N.A.	N.A.
WBGene00048439	WBGene00048439	N.A.	N.A.
WBGene00048440	WBGene00048440	N.A.	N.A.
WBGene00048441	WBGene00048441	N.A.	N.A.
WBGene00048442	WBGene00048442	N.A.	N.A.
WBGene00048443	WBGene00048443	N.A.	N.A.
WBGene00048444	WBGene00048444	N.A.	N.A.
WBGene00048445	WBGene00048445	N.A.	N.A.
WBGene00048446	WBGene00048446	N.A.	N.A.
WBGene00048447	WBGene00048447	N.A.	N.A.
WBGene00048448	WBGene00048448	N.A.	N.A.
WBGene00048449	WBGene00048449	N.A.	N.A.
WBGene00048450	WBGene00048450	N.A.	N.A.
WBGene00048451	WBGene00048451	N.A.	N.A.
WBGene00048452	WBGene00048452	N.A.	N.A.
WBGene00048453	WBGene00048453	N.A.	N.A.
WBGene00048454	WBGene00048454	N.A.	N.A.
WBGene00048455	WBGene00048455	N.A.	N.A.
WBGene00048456	WBGene00048456	N.A.	N.A.
WBGene00048457	WBGene00048457	N.A.	N.A.
WBGene00048458	WBGene00048458	N.A.	N.A.
WBGene00048459	WBGene00048459	N.A.	N.A.
WBGene00048460	WBGene00048460	N.A.	N.A.
WBGene00048461	WBGene00048461	N.A.	N.A.
WBGene00048462	WBGene00048462	N.A.	N.A.
WBGene00048463	WBGene00048463	N.A.	N.A.
WBGene00048464	WBGene00048464	N.A.	N.A.
WBGene00048465	WBGene00048465	N.A.	N.A.
WBGene00048466	WBGene00048466	N.A.	N.A.
WBGene00048467	WBGene00048467	N.A.	N.A.
WBGene00048468	WBGene00048468	N.A.	N.A.
WBGene00048469	WBGene00048469	N.A.	N.A.
WBGene00048470	WBGene00048470	N.A.	N.A.
WBGene00048471	WBGene00048471	N.A.	N.A.
WBGene00048472	WBGene00048472	N.A.	N.A.
WBGene00048473	WBGene00048473	N.A.	N.A.
WBGene00048474	WBGene00048474	N.A.	N.A.
WBGene00048475	WBGene00048475	N.A.	N.A.
WBGene00048476	WBGene00048476	N.A.	N.A.
WBGene00048477	WBGene00048477	N.A.	N.A.
WBGene00048478	WBGene00048478	N.A.	N.A.
WBGene00048479	WBGene00048479	N.A.	N.A.
WBGene00048480	WBGene00048480	N.A.	N.A.
WBGene00048481	WBGene00048481	N.A.	N.A.
WBGene00048482	WBGene00048482	N.A.	N.A.
WBGene00048483	WBGene00048483	N.A.	N.A.
WBGene00048484	WBGene00048484	N.A.	N.A.
WBGene00048485	WBGene00048485	N.A.	N.A.
WBGene00048486	WBGene00048486	N.A.	N.A.
WBGene00048487	WBGene00048487	N.A.	N.A.
WBGene00048488	WBGene00048488	N.A.	N.A.
WBGene00048489	WBGene00048489	N.A.	N.A.
WBGene00048490	WBGene00048490	N.A.	N.A.
WBGene00048491	WBGene00048491	N.A.	N.A.
WBGene00048492	WBGene00048492	N.A.	N.A.
WBGene00048493	WBGene00048493	N.A.	N.A.
WBGene00048494	WBGene00048494	N.A.	N.A.
WBGene00048495	WBGene00048495	N.A.	N.A.
WBGene00048496	WBGene00048496	N.A.	N.A.
WBGene00048497	WBGene00048497	N.A.	N.A.
WBGene00048498	WBGene00048498	N.A.	N.A.
WBGene00048499	WBGene00048499	N.A.	N.A.
WBGene00048500	WBGene00048500	N.A.	N.A.
WBGene00048501	WBGene00048501	N.A.	N.A.
WBGene00048502	WBGene00048502	N.A.	N.A.
WBGene00048503	WBGene00048503	N.A.	N.A.
WBGene00048504	WBGene00048504	N.A.	N.A.
WBGene00048505	WBGene00048505	N.A.	N.A.
WBGene00048506	WBGene00048506	N.A.	N.A.
WBGene00048507	WBGene00048507	N.A.	N.A.
WBGene00048508	WBGene00048508	N.A.	N.A.
WBGene00048509	WBGene00048509	N.A.	N.A.
WBGene00048510	WBGene00048510	N.A.	N.A.
WBGene00048511	WBGene00048511	N.A.	N.A.
WBGene00048512	WBGene00048512	N.A.	N.A.
WBGene00048513	WBGene00048513	N.A.	N.A.
WBGene00048514	WBGene00048514	N.A.	N.A.
WBGene00048515	WBGene00048515	N.A.	N.A.
WBGene00048516	WBGene00048516	N.A.	N.A.
WBGene00048517	WBGene00048517	N.A.	N.A.
WBGene00048518	WBGene00048518	N.A.	N.A.
WBGene00048519	WBGene00048519	N.A.	N.A.
WBGene00048520	WBGene00048520	N.A.	N.A.
WBGene00048521	WBGene00048521	N.A.	N.A.
WBGene00048522	WBGene00048522	N.A.	N.A.
WBGene00048523	WBGene00048523	N.A.	N.A.
WBGene00048524	WBGene00048524	N.A.	N.A.
WBGene00048525	WBGene00048525	N.A.	N.A.
WBGene00048526	WBGene00048526	N.A.	N.A.
WBGene00048527	WBGene00048527	N.A.	N.A.
WBGene00048528	WBGene00048528	N.A.	N.A.
WBGene00048529	WBGene00048529	N.A.	N.A.
WBGene00048530	WBGene00048530	N.A.	N.A.
WBGene00048531	WBGene00048531	N.A.	N.A.
WBGene00048532	WBGene00048532	N.A.	N.A.
WBGene00048533	WBGene00048533	N.A.	N.A.
WBGene00048534	WBGene00048534	N.A.	N.A.
WBGene00048535	WBGene00048535	N.A.	N.A.
WBGene00048536	WBGene00048536	N.A.	N.A.
WBGene00048537	WBGene00048537	N.A.	N.A.
WBGene00048538	WBGene00048538	N.A.	N.A.
WBGene00048539	WBGene00048539	N.A.	N.A.
WBGene00048540	WBGene00048540	N.A.	N.A.
WBGene00048541	WBGene00048541	N.A.	N.A.
WBGene00048542	WBGene00048542	N.A.	N.A.
WBGene00048543	WBGene00048543	N.A.	N.A.
WBGene00048544	WBGene00048544	N.A.	N.A.
WBGene00048545	WBGene00048545	N.A.	N.A.
WBGene00048546	WBGene00048546	N.A.	N.A.
WBGene00048547	WBGene00048547	N.A.	N.A.
WBGene00048548	WBGene00048548	N.A.	N.A.
WBGene00048549	WBGene00048549	N.A.	N.A.
WBGene00048550	WBGene00048550	N.A.	N.A.
WBGene00048551	WBGene00048551	N.A.	N.A.
WBGene00048552	WBGene00048552	N.A.	N.A.
WBGene00048553	WBGene00048553	N.A.	N.A.
WBGene00048554	WBGene00048554	N.A.	N.A.
WBGene00048555	WBGene00048555	N.A.	N.A.
WBGene00048556	WBGene00048556	N.A.	N.A.
WBGene00048557	WBGene00048557	N.A.	N.A.
WBGene00048558	WBGene00048558	N.A.	N.A.
WBGene00048559	WBGene00048559	N.A.	N.A.
WBGene00048560	WBGene00048560	N.A.	N.A.
WBGene00048561	WBGene00048561	N.A.	N.A.
WBGene00048562	WBGene00048562	N.A.	N.A.
WBGene00048563	WBGene00048563	N.A.	N.A.
WBGene00048564	WBGene00048564	N.A.	N.A.
WBGene00048565	WBGene00048565	N.A.	N.A.
WBGene00048566	WBGene00048566	N.A.	N.A.
WBGene00048567	WBGene00048567	N.A.	N.A.
WBGene00048568	WBGene00048568	N.A.	N.A.
WBGene00048569	WBGene00048569	N.A.	N.A.
WBGene00048570	WBGene00048570	N.A.	N.A.
WBGene00048571	WBGene00048571	N.A.	N.A.
WBGene00048572	WBGene00048572	N.A.	N.A.
WBGene00048573	WBGene00048573	N.A.	N.A.
WBGene00048574	WBGene00048574	N.A.	N.A.
WBGene00048575	WBGene00048575	N.A.	N.A.
WBGene00048576	WBGene00048576	N.A.	N.A.
WBGene00048577	WBGene00048577	N.A.	N.A.
WBGene00048578	WBGene00048578	N.A.	N.A.
WBGene00048579	WBGene00048579	N.A.	N.A.
WBGene00048580	WBGene00048580	N.A.	N.A.
WBGene00048581	WBGene00048581	N.A.	N.A.
WBGene00048582	WBGene00048582	N.A.	N.A.
WBGene00048583	WBGene00048583	N.A.	N.A.
WBGene00048584	WBGene00048584	N.A.	N.A.
WBGene00048585	WBGene00048585	N.A.	N.A.
WBGene00048586	WBGene00048586	N.A.	N.A.
WBGene00048587	WBGene00048587	N.A.	N.A.
WBGene00048588	WBGene00048588	N.A.	N.A.
WBGene00048589	WBGene00048589	N.A.	N.A.
WBGene00048590	WBGene00048590	N.A.	N.A.
WBGene00048591	WBGene00048591	N.A.	N.A.
WBGene00048592	WBGene00048592	N.A.	N.A.
WBGene00048593	WBGene00048593	N.A.	N.A.
WBGene00048594	WBGene00048594	N.A.	N.A.
WBGene00048595	WBGene00048595	N.A.	N.A.
WBGene00048596	WBGene00048596	N.A.	N.A.
WBGene00048597	WBGene00048597	N.A.	N.A.
WBGene00048598	WBGene00048598	N.A.	N.A.
WBGene00048599	WBGene00048599	N.A.	N.A.
WBGene00048600	WBGene00048600	N.A.	N.A.
WBGene00048601	WBGene00048601	N.A.	N.A.
WBGene00048602	WBGene00048602	N.A.	N.A.
WBGene00048603	WBGene00048603	N.A.	N.A.
WBGene00048604	WBGene00048604	N.A.	N.A.
WBGene00048605	WBGene00048605	N.A.	N.A.
WBGene00048606	WBGene00048606	N.A.	N.A.
WBGene00048607	WBGene00048607	N.A.	N.A.
WBGene00048608	WBGene00048608	N.A.	N.A.
WBGene00048609	WBGene00048609	N.A.	N.A.
WBGene00048610	WBGene00048610	N.A.	N.A.
WBGene00048611	WBGene00048611	N.A.	N.A.
WBGene00048612	WBGene00048612	N.A.	N.A.
WBGene00048613	WBGene00048613	N.A.	N.A.
WBGene00048614	WBGene00048614	N.A.	N.A.
WBGene00048615	WBGene00048615	N.A.	N.A.
WBGene00048616	WBGene00048616	N.A.	N.A.
WBGene00048617	WBGene00048617	N.A.	N.A.
WBGene00048618	WBGene00048618	N.A.	N.A.
WBGene00048619	WBGene00048619	N.A.	N.A.
WBGene00048620	WBGene00048620	N.A.	N.A.
WBGene00048621	WBGene00048621	N.A.	N.A.
WBGene00048622	WBGene00048622	N.A.	N.A.
WBGene00048623	WBGene00048623	N.A.	N.A.
WBGene00048624	WBGene00048624	N.A.	N.A.
WBGene00048625	WBGene00048625	N.A.	N.A.
WBGene00048626	WBGene00048626	N.A.	N.A.
WBGene00048627	WBGene00048627	N.A.	N.A.
